Data Source: Instituto Nacional de Estadística http://www.ine.es/inebmenu/mnu_clasifica.htm;;;;;
Coordenadas en formato wsg84, en decimal. Compatible con Google Maps.;;;;;
Author: Emilio Rodríguez. http://www.emiliort.com/mysql/municipios-espana-coordenadas/;;;;;
;;;;;
name;province;state;latitude;longitude;Google Maps URL
Benizalón;Almería;Andalucía;37.2117466;-2.2416847;http://maps.google.es/maps?z=14&ll=37.2117466,-2.2416847
Bentarique;Almería;Andalucía;36.9865206;-2.6194202;http://maps.google.es/maps?z=14&ll=36.9865206,-2.6194202
Berja;Almería;Andalucía;36.8464402;-2.9494252;http://maps.google.es/maps?z=14&ll=36.8464402,-2.9494252
Canjáyar;Almería;Andalucía;37.0097322;-2.7396811;http://maps.google.es/maps?z=14&ll=37.0097322,-2.7396811
Cantoria;Almería;Andalucía;37.3525943;-2.1936263;http://maps.google.es/maps?z=14&ll=37.3525943,-2.1936263
Carboneras;Almería;Andalucía;36.996586;-1.8950117;http://maps.google.es/maps?z=14&ll=36.996586,-1.8950117
Castro de Filabres;Almería;Andalucía;37.1846349;-2.4395242;http://maps.google.es/maps?z=14&ll=37.1846349,-2.4395242
Chercos;Almería;Andalucía;37.2663328;-2.2578972;http://maps.google.es/maps?z=14&ll=37.2663328,-2.2578972
Chirivel;Almería;Andalucía;37.5956045;-2.2648388;http://maps.google.es/maps?z=14&ll=37.5956045,-2.2648388
Cóbdar;Almería;Andalucía;37.2619895;-2.2102232;http://maps.google.es/maps?z=14&ll=37.2619895,-2.2102232
Cuevas del Almanzora;Almería;Andalucía;37.2970929;-1.8814762;http://maps.google.es/maps?z=14&ll=37.2970929,-1.8814762
Dalías;Almería;Andalucía;36.8212091;-2.8706965;http://maps.google.es/maps?z=14&ll=36.8212091,-2.8706965
Ejido, El;Almería;Andalucía;36.7750616;-2.8127379;http://maps.google.es/maps?z=14&ll=36.7750616,-2.8127379
Enix;Almería;Andalucía;36.8770413;-2.6021068;http://maps.google.es/maps?z=14&ll=36.8770413,-2.6021068
Felix;Almería;Andalucía;36.8689235;-2.6579207;http://maps.google.es/maps?z=14&ll=36.8689235,-2.6579207
Fines;Almería;Andalucía;37.358875;-2.262964;http://maps.google.es/maps?z=14&ll=37.358875,-2.262964
Fiñana;Almería;Andalucía;37.1710128;-2.8406783;http://maps.google.es/maps?z=14&ll=37.1710128,-2.8406783
Fondón;Almería;Andalucía;36.979417;-2.8583558;http://maps.google.es/maps?z=14&ll=36.979417,-2.8583558
Gádor;Almería;Andalucía;36.9539283;-2.4929356;http://maps.google.es/maps?z=14&ll=36.9539283,-2.4929356
Gallardos, Los;Almería;Andalucía;36.8400838;-2.4102092;http://maps.google.es/maps?z=14&ll=36.8400838,-2.4102092
Garrucha;Almería;Andalucía;37.17925;-1.8219007;http://maps.google.es/maps?z=14&ll=37.17925,-1.8219007
Gérgal;Almería;Andalucía;37.120699;-2.5383052;http://maps.google.es/maps?z=14&ll=37.120699,-2.5383052
Huécija;Almería;Andalucía;36.9678769;-2.6114357;http://maps.google.es/maps?z=14&ll=36.9678769,-2.6114357
Huércal de Almería;Almería;Andalucía;36.8841517;-2.4359781;http://maps.google.es/maps?z=14&ll=36.8841517,-2.4359781
Huércal-Overa;Almería;Andalucía;37.3906231;-1.9436843;http://maps.google.es/maps?z=14&ll=37.3906231,-1.9436843
Illar;Almería;Andalucía;36.9850372;-2.6393024;http://maps.google.es/maps?z=14&ll=36.9850372,-2.6393024
Instinción;Almería;Andalucía;36.9931577;-2.6599447;http://maps.google.es/maps?z=14&ll=36.9931577,-2.6599447
Laroya;Almería;Andalucía;37.2966726;-2.3296012;http://maps.google.es/maps?z=14&ll=37.2966726,-2.3296012
Láujar de Andarax;Almería;Andalucía;36.9938363;-2.8892198;http://maps.google.es/maps?z=14&ll=36.9938363,-2.8892198
Líjar;Almería;Andalucía;37.2952694;-2.2199277;http://maps.google.es/maps?z=14&ll=37.2952694,-2.2199277
Lubrín;Almería;Andalucía;37.2158556;-2.067055;http://maps.google.es/maps?z=14&ll=37.2158556,-2.067055
Lucainena de las Torres;Almería;Andalucía;37.0417883;-2.2007056;http://maps.google.es/maps?z=14&ll=37.0417883,-2.2007056
Lúcar;Almería;Andalucía;37.3996503;-2.4270743;http://maps.google.es/maps?z=14&ll=37.3996503,-2.4270743
Macael;Almería;Andalucía;37.3322913;-2.3048916;http://maps.google.es/maps?z=14&ll=37.3322913,-2.3048916
María;Almería;Andalucía;37.7111023;-2.1657949;http://maps.google.es/maps?z=14&ll=37.7111023,-2.1657949
Mojácar;Almería;Andalucía;37.1399459;-1.851328;http://maps.google.es/maps?z=14&ll=37.1399459,-1.851328
Mojonera, La;Almería;Andalucía;37.0917379;-2.2468319;http://maps.google.es/maps?z=14&ll=37.0917379,-2.2468319
Nacimiento;Almería;Andalucía;37.1049744;-2.64774;http://maps.google.es/maps?z=14&ll=37.1049744,-2.64774
Níjar;Almería;Andalucía;36.9657612;-2.2065096;http://maps.google.es/maps?z=14&ll=36.9657612,-2.2065096
Ohanes;Almería;Andalucía;37.0372332;-2.7451682;http://maps.google.es/maps?z=14&ll=37.0372332,-2.7451682
Olula de Castro;Almería;Andalucía;37.176107;-2.4762967;http://maps.google.es/maps?z=14&ll=37.176107,-2.4762967
Olula del Río;Almería;Andalucía;37.3521187;-2.2981211;http://maps.google.es/maps?z=14&ll=37.3521187,-2.2981211
Oria;Almería;Andalucía;37.4850307;-2.2950183;http://maps.google.es/maps?z=14&ll=37.4850307,-2.2950183
Padules;Almería;Andalucía;36.9988404;-2.773482;http://maps.google.es/maps?z=14&ll=36.9988404,-2.773482
Partaloa;Almería;Andalucía;37.4060417;-2.2264336;http://maps.google.es/maps?z=14&ll=37.4060417,-2.2264336
Paterna del Río;Almería;Andalucía;37.0208808;-2.9530868;http://maps.google.es/maps?z=14&ll=37.0208808,-2.9530868
Pechina;Almería;Andalucía;36.9166694;-2.4406249;http://maps.google.es/maps?z=14&ll=36.9166694,-2.4406249
Pulpí;Almería;Andalucía;37.4118301;-1.7455017;http://maps.google.es/maps?z=14&ll=37.4118301,-1.7455017
Purchena;Almería;Andalucía;37.3485471;-2.36155;http://maps.google.es/maps?z=14&ll=37.3485471,-2.36155
Rágol;Almería;Andalucía;36.9956448;-2.6809891;http://maps.google.es/maps?z=14&ll=36.9956448,-2.6809891
Rioja;Almería;Andalucía;36.9440586;-2.4624238;http://maps.google.es/maps?z=14&ll=36.9440586,-2.4624238
Roquetas de Mar;Almería;Andalucía;36.7642742;-2.6149347;http://maps.google.es/maps?z=14&ll=36.7642742,-2.6149347
Santa Cruz de Marchena;Almería;Andalucía;37.0172028;-2.6037676;http://maps.google.es/maps?z=14&ll=37.0172028,-2.6037676
Santa Fe de Mondújar;Almería;Andalucía;36.9750609;-2.5302795;http://maps.google.es/maps?z=14&ll=36.9750609,-2.5302795
Senés;Almería;Andalucía;37.2045712;-2.3475437;http://maps.google.es/maps?z=14&ll=37.2045712,-2.3475437
Serón;Almería;Andalucía;37.3436139;-2.5080771;http://maps.google.es/maps?z=14&ll=37.3436139,-2.5080771
Sierro;Almería;Andalucía;37.3234824;-2.3985258;http://maps.google.es/maps?z=14&ll=37.3234824,-2.3985258
Somontín;Almería;Andalucía;37.3913919;-2.3891269;http://maps.google.es/maps?z=14&ll=37.3913919,-2.3891269
Sorbas;Almería;Andalucía;37.0984074;-2.1263514;http://maps.google.es/maps?z=14&ll=37.0984074,-2.1263514
Suflí;Almería;Andalucía;37.3382011;-2.3895228;http://maps.google.es/maps?z=14&ll=37.3382011,-2.3895228
Tabernas;Almería;Andalucía;37.0494467;-2.3926811;http://maps.google.es/maps?z=14&ll=37.0494467,-2.3926811
Taberno;Almería;Andalucía;37.4672901;-2.076205;http://maps.google.es/maps?z=14&ll=37.4672901,-2.076205
Tahal;Almería;Andalucía;37.2280361;-2.2849704;http://maps.google.es/maps?z=14&ll=37.2280361,-2.2849704
Terque;Almería;Andalucía;36.9835848;-2.5972332;http://maps.google.es/maps?z=14&ll=36.9835848,-2.5972332
Tíjola;Almería;Andalucía;37.3455072;-2.4394337;http://maps.google.es/maps?z=14&ll=37.3455072,-2.4394337
Tres Villas, Las;Almería;Andalucía;36.8400897;-2.3025253;http://maps.google.es/maps?z=14&ll=36.8400897,-2.3025253
Turre;Almería;Andalucía;37.1522494;-1.8948989;http://maps.google.es/maps?z=14&ll=37.1522494,-1.8948989
Turrillas;Almería;Andalucía;37.030185;-2.2640956;http://maps.google.es/maps?z=14&ll=37.030185,-2.2640956
Uleila del Campo;Almería;Andalucía;37.1854838;-2.2038011;http://maps.google.es/maps?z=14&ll=37.1854838,-2.2038011
Urrácal;Almería;Andalucía;37.3973231;-2.3650704;http://maps.google.es/maps?z=14&ll=37.3973231,-2.3650704
Velefique;Almería;Andalucía;37.1937509;-2.4036872;http://maps.google.es/maps?z=14&ll=37.1937509,-2.4036872
Vélez-Blanco;Almería;Andalucía;37.6909521;-2.0956818;http://maps.google.es/maps?z=14&ll=37.6909521,-2.0956818
Vélez-Rubio;Almería;Andalucía;37.6480201;-2.0742319;http://maps.google.es/maps?z=14&ll=37.6480201,-2.0742319
Vera;Almería;Andalucía;37.2468629;-1.8682384;http://maps.google.es/maps?z=14&ll=37.2468629,-1.8682384
Viator;Almería;Andalucía;36.8896345;-2.4265414;http://maps.google.es/maps?z=14&ll=36.8896345,-2.4265414
Vícar;Almería;Andalucía;36.8314525;-2.6425154;http://maps.google.es/maps?z=14&ll=36.8314525,-2.6425154
Zurgena;Almería;Andalucía;37.3426519;-2.0396074;http://maps.google.es/maps?z=14&ll=37.3426519,-2.0396074
Alcalá de los Gazules;Cádiz;Andalucía;36.4604548;-5.7237178;http://maps.google.es/maps?z=14&ll=36.4604548,-5.7237178
Alcalá del Valle;Cádiz;Andalucía;36.9049152;-5.1732367;http://maps.google.es/maps?z=14&ll=36.9049152,-5.1732367
Algar;Cádiz;Andalucía;36.6553251;-5.657418;http://maps.google.es/maps?z=14&ll=36.6553251,-5.657418
Algeciras;Cádiz;Andalucía;36.1297803;-5.4476981;http://maps.google.es/maps?z=14&ll=36.1297803,-5.4476981
Algodonales;Cádiz;Andalucía;36.8809228;-5.4057729;http://maps.google.es/maps?z=14&ll=36.8809228,-5.4057729
Arcos de la Frontera;Cádiz;Andalucía;36.750779;-5.8123948;http://maps.google.es/maps?z=14&ll=36.750779,-5.8123948
Barbate;Cádiz;Andalucía;36.192816;-5.918903;http://maps.google.es/maps?z=14&ll=36.192816,-5.918903
Barrios, Los;Cádiz;Andalucía;36.1853857;-5.4927475;http://maps.google.es/maps?z=14&ll=36.1853857,-5.4927475
Benalup-Casas Viejas;Cádiz;Andalucía;36.3428388;-5.8094;http://maps.google.es/maps?z=14&ll=36.3428388,-5.8094
Benaocaz;Cádiz;Andalucía;36.6995191;-5.4212627;http://maps.google.es/maps?z=14&ll=36.6995191,-5.4212627
Bornos;Cádiz;Andalucía;36.8145887;-5.7433626;http://maps.google.es/maps?z=14&ll=36.8145887,-5.7433626
Bosque, El;Cádiz;Andalucía;36.7575169;-5.5069874;http://maps.google.es/maps?z=14&ll=36.7575169,-5.5069874
Cádiz;Cádiz;Andalucía;36.5296879;-6.2926569;http://maps.google.es/maps?z=14&ll=36.5296879,-6.2926569
Castellar de la Frontera;Cádiz;Andalucía;36.2862098;-5.4199373;http://maps.google.es/maps?z=14&ll=36.2862098,-5.4199373
Chiclana de la Frontera;Cádiz;Andalucía;36.4191532;-6.149412;http://maps.google.es/maps?z=14&ll=36.4191532,-6.149412
Chipiona;Cádiz;Andalucía;36.7408046;-6.4358696;http://maps.google.es/maps?z=14&ll=36.7408046,-6.4358696
Conil de la Frontera;Cádiz;Andalucía;36.2767507;-6.0884356;http://maps.google.es/maps?z=14&ll=36.2767507,-6.0884356
Espera;Cádiz;Andalucía;36.8731903;-5.8062129;http://maps.google.es/maps?z=14&ll=36.8731903,-5.8062129
Gastor, El;Cádiz;Andalucía;36.8550873;-5.3236225;http://maps.google.es/maps?z=14&ll=36.8550873,-5.3236225
Grazalema;Cádiz;Andalucía;36.7583638;-5.3660708;http://maps.google.es/maps?z=14&ll=36.7583638,-5.3660708
Jerez de la Frontera;Cádiz;Andalucía;36.6865618;-6.1371725;http://maps.google.es/maps?z=14&ll=36.6865618,-6.1371725
Jimena de la Frontera;Cádiz;Andalucía;36.4340437;-5.4534795;http://maps.google.es/maps?z=14&ll=36.4340437,-5.4534795
Línea de la Concepción, La;Cádiz;Andalucía;36.1611788;-5.3482559;http://maps.google.es/maps?z=14&ll=36.1611788,-5.3482559
Medina-Sidonia;Cádiz;Andalucía;36.4676809;-5.9278941;http://maps.google.es/maps?z=14&ll=36.4676809,-5.9278941
Olvera;Cádiz;Andalucía;36.9352514;-5.267688;http://maps.google.es/maps?z=14&ll=36.9352514,-5.267688
Paterna de Rivera;Cádiz;Andalucía;36.5233289;-5.8660532;http://maps.google.es/maps?z=14&ll=36.5233289,-5.8660532
Prado del Rey;Cádiz;Andalucía;36.789685;-5.5555448;http://maps.google.es/maps?z=14&ll=36.789685,-5.5555448
Puerto de Santa María, El;Cádiz;Andalucía;36.596953;-6.2275256;http://maps.google.es/maps?z=14&ll=36.596953,-6.2275256
Puerto Real;Cádiz;Andalucía;36.5291221;-6.1918955;http://maps.google.es/maps?z=14&ll=36.5291221,-6.1918955
Puerto Serrano;Cádiz;Andalucía;36.9215923;-5.5456216;http://maps.google.es/maps?z=14&ll=36.9215923,-5.5456216
Rota;Cádiz;Andalucía;36.6169844;-6.3582016;http://maps.google.es/maps?z=14&ll=36.6169844,-6.3582016
San Fernando;Cádiz;Andalucía;36.4656902;-6.1966757;http://maps.google.es/maps?z=14&ll=36.4656902,-6.1966757
San José del Valle;Cádiz;Andalucía;36.6055407;-5.7989522;http://maps.google.es/maps?z=14&ll=36.6055407,-5.7989522
San Roque;Cádiz;Andalucía;36.2097481;-5.3845717;http://maps.google.es/maps?z=14&ll=36.2097481,-5.3845717
Sanlúcar de Barrameda;Cádiz;Andalucía;36.7788211;-6.3541978;http://maps.google.es/maps?z=14&ll=36.7788211,-6.3541978
Setenil de las Bodegas;Cádiz;Andalucía;36.8640602;-5.1814132;http://maps.google.es/maps?z=14&ll=36.8640602,-5.1814132
Tarifa;Cádiz;Andalucía;36.0127143;-5.6029544;http://maps.google.es/maps?z=14&ll=36.0127143,-5.6029544
Torre Alháquime;Cádiz;Andalucía;36.9155351;-5.2347358;http://maps.google.es/maps?z=14&ll=36.9155351,-5.2347358
Trebujena;Cádiz;Andalucía;36.869515;-6.1766952;http://maps.google.es/maps?z=14&ll=36.869515,-6.1766952
Ubrique;Cádiz;Andalucía;36.6777102;-5.4465568;http://maps.google.es/maps?z=14&ll=36.6777102,-5.4465568
Vejer de la Frontera;Cádiz;Andalucía;36.2533139;-5.9628564;http://maps.google.es/maps?z=14&ll=36.2533139,-5.9628564
Villaluenga del Rosario;Cádiz;Andalucía;36.6958673;-5.3881374;http://maps.google.es/maps?z=14&ll=36.6958673,-5.3881374
Villamartín;Cádiz;Andalucía;36.8613237;-5.641834;http://maps.google.es/maps?z=14&ll=36.8613237,-5.641834
Zahara;Cádiz;Andalucía;36.8405269;-5.3905469;http://maps.google.es/maps?z=14&ll=36.8405269,-5.3905469
Adamuz;Córdoba;Andalucía;38.0273636;-4.5248733;http://maps.google.es/maps?z=14&ll=38.0273636,-4.5248733
Aguilar de la Frontera;Córdoba;Andalucía;37.5150249;-4.6560569;http://maps.google.es/maps?z=14&ll=37.5150249,-4.6560569
Alcaracejos;Córdoba;Andalucía;38.3882311;-4.9676841;http://maps.google.es/maps?z=14&ll=38.3882311,-4.9676841
Almedinilla;Córdoba;Andalucía;37.4390031;-4.0912049;http://maps.google.es/maps?z=14&ll=37.4390031,-4.0912049
Almodóvar del Río;Córdoba;Andalucía;37.8095848;-5.0199586;http://maps.google.es/maps?z=14&ll=37.8095848,-5.0199586
Añora;Córdoba;Andalucía;38.4109934;-4.8974616;http://maps.google.es/maps?z=14&ll=38.4109934,-4.8974616
Baena;Córdoba;Andalucía;37.6144133;-4.3260896;http://maps.google.es/maps?z=14&ll=37.6144133,-4.3260896
Belalcázar;Córdoba;Andalucía;38.5784345;-5.1671188;http://maps.google.es/maps?z=14&ll=38.5784345,-5.1671188
Belmez;Córdoba;Andalucía;38.2723355;-5.208753;http://maps.google.es/maps?z=14&ll=38.2723355,-5.208753
Benamejí;Córdoba;Andalucía;37.2673212;-4.5404178;http://maps.google.es/maps?z=14&ll=37.2673212,-4.5404178
Blázquez, Los;Córdoba;Andalucía;38.408013;-5.437517;http://maps.google.es/maps?z=14&ll=38.408013,-5.437517
Bujalance;Córdoba;Andalucía;37.8965712;-4.3835885;http://maps.google.es/maps?z=14&ll=37.8965712,-4.3835885
Cabra;Córdoba;Andalucía;37.4743664;-4.4259306;http://maps.google.es/maps?z=14&ll=37.4743664,-4.4259306
Cañete de las Torres;Córdoba;Andalucía;37.8674095;-4.3188186;http://maps.google.es/maps?z=14&ll=37.8674095,-4.3188186
Carcabuey;Córdoba;Andalucía;37.4435913;-4.2734363;http://maps.google.es/maps?z=14&ll=37.4435913,-4.2734363
Cardeña;Córdoba;Andalucía;38.2704645;-4.3237298;http://maps.google.es/maps?z=14&ll=38.2704645,-4.3237298
Carlota, La;Córdoba;Andalucía;37.6736147;-4.9325533;http://maps.google.es/maps?z=14&ll=37.6736147,-4.9325533
Carpio, El;Córdoba;Andalucía;37.8809947;-4.7760887;http://maps.google.es/maps?z=14&ll=37.8809947,-4.7760887
Castro del Río;Córdoba;Andalucía;37.6886366;-4.4815787;http://maps.google.es/maps?z=14&ll=37.6886366,-4.4815787
Conquista;Córdoba;Andalucía;38.4084439;-4.5009684;http://maps.google.es/maps?z=14&ll=38.4084439,-4.5009684
Córdoba;Córdoba;Andalucía;37.8847267;-4.7791517;http://maps.google.es/maps?z=14&ll=37.8847267,-4.7791517
Doña Mencía;Córdoba;Andalucía;37.5545698;-4.3576025;http://maps.google.es/maps?z=14&ll=37.5545698,-4.3576025
Dos Torres;Córdoba;Andalucía;38.4452447;-4.8949322;http://maps.google.es/maps?z=14&ll=38.4452447,-4.8949322
Encinas Reales;Córdoba;Andalucía;37.2748827;-4.4897172;http://maps.google.es/maps?z=14&ll=37.2748827,-4.4897172
Espejo;Córdoba;Andalucía;37.6821089;-4.5523629;http://maps.google.es/maps?z=14&ll=37.6821089,-4.5523629
Espiel;Córdoba;Andalucía;38.1886516;-5.0182019;http://maps.google.es/maps?z=14&ll=38.1886516,-5.0182019
Fernán-Núñez;Córdoba;Andalucía;37.6722582;-4.7239938;http://maps.google.es/maps?z=14&ll=37.6722582,-4.7239938
Fuente la Lancha;Córdoba;Andalucía;38.4225672;-5.0489061;http://maps.google.es/maps?z=14&ll=38.4225672,-5.0489061
Fuente Obejuna;Córdoba;Andalucía;38.2667497;-5.4198339;http://maps.google.es/maps?z=14&ll=38.2667497,-5.4198339
Fuente Palmera;Córdoba;Andalucía;37.703189;-5.1039039;http://maps.google.es/maps?z=14&ll=37.703189,-5.1039039
Fuente-Tójar;Córdoba;Andalucía;37.5116266;-4.1480195;http://maps.google.es/maps?z=14&ll=37.5116266,-4.1480195
Granjuela, La;Córdoba;Andalucía;38.3711006;-5.3514363;http://maps.google.es/maps?z=14&ll=38.3711006,-5.3514363
Guadalcázar;Córdoba;Andalucía;37.7575517;-4.9446297;http://maps.google.es/maps?z=14&ll=37.7575517,-4.9446297
Guijo, El;Córdoba;Andalucía;38.4962928;-4.782716;http://maps.google.es/maps?z=14&ll=38.4962928,-4.782716
Hinojosa del Duque;Córdoba;Andalucía;38.5009912;-5.1483328;http://maps.google.es/maps?z=14&ll=38.5009912,-5.1483328
Hornachuelos;Córdoba;Andalucía;37.8308411;-5.2429845;http://maps.google.es/maps?z=14&ll=37.8308411,-5.2429845
Iznájar;Córdoba;Andalucía;37.2572569;-4.3084231;http://maps.google.es/maps?z=14&ll=37.2572569,-4.3084231
Lucena;Córdoba;Andalucía;37.4087293;-4.4855978;http://maps.google.es/maps?z=14&ll=37.4087293,-4.4855978
Luque;Córdoba;Andalucía;37.5593227;-4.2765229;http://maps.google.es/maps?z=14&ll=37.5593227,-4.2765229
Montalbán de Córdoba;Córdoba;Andalucía;37.5829208;-4.7496987;http://maps.google.es/maps?z=14&ll=37.5829208,-4.7496987
Montemayor;Córdoba;Andalucía;37.6486166;-4.698889;http://maps.google.es/maps?z=14&ll=37.6486166,-4.698889
Montilla;Córdoba;Andalucía;37.5896304;-4.6383126;http://maps.google.es/maps?z=14&ll=37.5896304,-4.6383126
Montoro;Córdoba;Andalucía;38.0261701;-4.381874;http://maps.google.es/maps?z=14&ll=38.0261701,-4.381874
Monturque;Córdoba;Andalucía;37.4733257;-4.5817131;http://maps.google.es/maps?z=14&ll=37.4733257,-4.5817131
Moriles;Córdoba;Andalucía;37.4352591;-4.6087668;http://maps.google.es/maps?z=14&ll=37.4352591,-4.6087668
Nueva Carteya;Córdoba;Andalucía;37.5856614;-4.4672913;http://maps.google.es/maps?z=14&ll=37.5856614,-4.4672913
Obejo;Córdoba;Andalucía;38.1343305;-4.8005056;http://maps.google.es/maps?z=14&ll=38.1343305,-4.8005056
Palenciana;Córdoba;Andalucía;37.2492033;-4.5836511;http://maps.google.es/maps?z=14&ll=37.2492033,-4.5836511
Palma del Río;Córdoba;Andalucía;37.7016346;-5.2837669;http://maps.google.es/maps?z=14&ll=37.7016346,-5.2837669
Pedro Abad;Córdoba;Andalucía;37.9670756;-4.4572259;http://maps.google.es/maps?z=14&ll=37.9670756,-4.4572259
Pedroche;Córdoba;Andalucía;38.4287313;-4.7634378;http://maps.google.es/maps?z=14&ll=38.4287313,-4.7634378
Peñarroya-Pueblonuevo;Córdoba;Andalucía;38.3030394;-5.2728515;http://maps.google.es/maps?z=14&ll=38.3030394,-5.2728515
Posadas;Córdoba;Andalucía;37.8004118;-5.1070381;http://maps.google.es/maps?z=14&ll=37.8004118,-5.1070381
Pozoblanco;Córdoba;Andalucía;38.3774183;-4.8483757;http://maps.google.es/maps?z=14&ll=38.3774183,-4.8483757
Priego de Córdoba;Córdoba;Andalucía;37.4388966;-4.1948395;http://maps.google.es/maps?z=14&ll=37.4388966,-4.1948395
Puente Genil;Córdoba;Andalucía;37.3905074;-4.7704654;http://maps.google.es/maps?z=14&ll=37.3905074,-4.7704654
Rambla, La;Córdoba;Andalucía;37.6081611;-4.7413194;http://maps.google.es/maps?z=14&ll=37.6081611,-4.7413194
Rute;Córdoba;Andalucía;37.3258655;-4.3713007;http://maps.google.es/maps?z=14&ll=37.3258655,-4.3713007
San Sebastián de los Ballesteros;Córdoba;Andalucía;37.6549298;-4.8241568;http://maps.google.es/maps?z=14&ll=37.6549298,-4.8241568
Santa Eufemia;Córdoba;Andalucía;38.5954453;-4.9027651;http://maps.google.es/maps?z=14&ll=38.5954453,-4.9027651
Santaella;Córdoba;Andalucía;37.5662722;-4.8450941;http://maps.google.es/maps?z=14&ll=37.5662722,-4.8450941
Torrecampo;Córdoba;Andalucía;38.4751014;-4.6794562;http://maps.google.es/maps?z=14&ll=38.4751014,-4.6794562
Valenzuela;Córdoba;Andalucía;37.775081;-4.2198417;http://maps.google.es/maps?z=14&ll=37.775081,-4.2198417
Valsequillo;Córdoba;Andalucía;38.4049767;-5.3516797;http://maps.google.es/maps?z=14&ll=38.4049767,-5.3516797
Victoria, La;Córdoba;Andalucía;37.8832397;-4.7849611;http://maps.google.es/maps?z=14&ll=37.8832397,-4.7849611
Villa del Río;Córdoba;Andalucía;37.9822715;-4.2908778;http://maps.google.es/maps?z=14&ll=37.9822715,-4.2908778
Villafranca de Córdoba;Córdoba;Andalucía;37.9619328;-4.5457276;http://maps.google.es/maps?z=14&ll=37.9619328,-4.5457276
Villaharta;Córdoba;Andalucía;38.1395072;-4.9030518;http://maps.google.es/maps?z=14&ll=38.1395072,-4.9030518
Villanueva de Córdoba;Córdoba;Andalucía;38.3227873;-4.628341;http://maps.google.es/maps?z=14&ll=38.3227873,-4.628341
Villanueva del Duque;Córdoba;Andalucía;38.3929751;-5.0001322;http://maps.google.es/maps?z=14&ll=38.3929751,-5.0001322
Villanueva del Rey;Córdoba;Andalucía;38.1996444;-5.1514426;http://maps.google.es/maps?z=14&ll=38.1996444,-5.1514426
